DATE|TEAM.1|TEAM.2|IS_HOST.1|IS_HOST.2|Y
2008-08-31|England|South Africa|True|False|True
2009-09-06|England|Australia|True|False|False
2009-09-12|England|Australia|True|False|False
2010-07-03|England|Australia|True|False|False
2010-09-20|England|Pakistan|True|False|False
2011-07-03|England|Sri Lanka|True|False|False
2011-09-11|England|India|True|False|False
2012-06-29|England|Australia|True|False|True
2012-09-02|England|South Africa|True|False|True
2013-05-31|England|New Zealand|True|False|False
2014-05-31|England|Sri Lanka|True|False|False
2015-09-05|England|Australia|True|False|False
2016-08-27|England|Pakistan|True|False|True
2017-05-07|England|Ireland|True|False|True
2017-05-29|England|South Africa|True|False|False
2018-07-14|England|India|True|False|True
1972-08-28|England|Australia|True|False|True
1974-09-03|England|Pakistan|True|False|False
1975-06-07|East Africa|New Zealand|False|False|False
1975-06-11|Pakistan|West Indies|False|False|False
1975-06-14|England|East Africa|True|False|True
1976-08-30|England|West Indies|True|False|False
1977-06-04|England|Australia|True|False|True
1979-06-09|India|West Indies|False|False|False
1979-06-16|Australia|Canada|False|False|True
1975-06-07|East Africa|New Zealand|False|False|False
1975-06-11|Pakistan|West Indies|False|False|False
1975-06-14|England|East Africa|True|False|True
1979-06-09|India|West Indies|False|False|False
1979-06-16|Australia|Canada|False|False|True
1980-08-22|England|Australia|True|False|True
1981-06-06|England|Australia|True|False|False
1983-06-11|New Zealand|Pakistan|False|False|True
1983-06-15|England|New Zealand|True|False|False
1983-06-20|West Indies|Zimbabwe|False|False|True
1985-06-01|England|Australia|True|False|False
1987-05-25|England|Pakistan|True|False|True
1988-05-19|England|West Indies|True|False|True
1983-06-11|New Zealand|Pakistan|False|False|True
1983-06-15|England|New Zealand|True|False|False
1983-06-20|West Indies|Zimbabwe|False|False|True
1991-05-23|England|West Indies|True|False|True
1993-05-21|England|Australia|True|False|False
1994-05-19|England|New Zealand|True|False|True
1994-08-25|England|South Africa|True|False|True
1996-08-31|England|Pakistan|True|False|True
1998-08-18|England|South Africa|True|False|False
1999-05-29|England|India|True|False|False
1999-06-10|New Zealand|South Africa|False|False|False
1999-06-17|Australia|South Africa|False|False|False
1999-05-29|England|India|True|False|False
1999-06-10|New Zealand|South Africa|False|False|False
1999-06-17|Australia|South Africa|False|False|False
2000-07-18|England|Zimbabwe|True|False|True
2001-06-07|England|Pakistan|True|False|False
2002-07-06|India|Sri Lanka|False|False|True
2003-07-08|England|South Africa|True|False|True
2004-06-26|New Zealand|West Indies|False|False|False
2004-09-10|England|Zimbabwe|True|False|True
2004-09-12|Bangladesh|South Africa|False|False|False
2004-09-14|Kenya|Pakistan|False|False|False
2004-09-19|India|Pakistan|False|False|False
2004-09-20|England|Australia|True|False|True
2005-06-28|England|Australia|True|False|False
2006-09-10|England|Pakistan|True|False|True
2007-07-04|England|West Indies|True|False|False
2007-08-27|England|India|True|False|True
2008-06-18|England|New Zealand|True|False|False
2009-05-26|England|West Indies|True|False|True
2010-07-12|England|Bangladesh|True|False|True
2012-07-04|England|Australia|True|False|False
2013-06-08|England|Australia|True|False|True
2013-06-10|Pakistan|South Africa|False|False|False
2013-06-12|Australia|New Zealand|False|False|False
2013-06-15|India|Pakistan|False|False|True
2013-06-23|England|India|True|False|False
2013-09-11|England|Australia|True|False|False
2014-06-03|England|Sri Lanka|True|False|False
2014-09-02|England|India|True|False|False
2015-06-09|England|New Zealand|True|False|True
2016-06-24|England|Sri Lanka|True|False|True
2017-06-02|Australia|New Zealand|False|False|False
2017-06-04|India|Pakistan|False|False|True
2017-06-07|Pakistan|South Africa|False|False|True
2017-06-10|England|Australia|True|False|True
2017-06-15|Bangladesh|India|False|False|False
1973-02-11|New Zealand|Pakistan|True|False|True
1974-03-31|New Zealand|Australia|True|False|False
1976-02-21|New Zealand|India|True|False|True
1980-02-06|New Zealand|West Indies|True|False|True
1983-02-26|New Zealand|England|True|False|True
1984-02-18|New Zealand|England|True|False|False
1985-02-06|New Zealand|Pakistan|True|False|True
1986-03-22|New Zealand|Australia|True|False|True
1987-03-28|New Zealand|West Indies|True|False|False
1988-03-12|New Zealand|England|True|False|False
1989-03-04|New Zealand|Pakistan|True|False|True
1990-03-03|Australia|India|False|False|True
1990-03-04|New Zealand|Australia|True|False|False
1991-02-09|New Zealand|England|True|False|False
1992-02-15|New Zealand|England|True|False|False
1992-03-05|South Africa|West Indies|False|False|True
1992-03-18|New Zealand|Pakistan|True|False|False
1993-03-21|New Zealand|Australia|True|False|False
1994-03-16|New Zealand|Pakistan|True|False|True
1994-04-02|New Zealand|India|True|False|True
1995-01-28|New Zealand|West Indies|True|False|False
1995-02-23|New Zealand|South Africa|True|False|True
1995-03-26|New Zealand|Sri Lanka|True|False|True
1995-12-17|New Zealand|Pakistan|True|False|True
1997-02-20|New Zealand|England|True|False|False
1997-03-25|New Zealand|Sri Lanka|True|False|False
1998-02-08|New Zealand|Australia|True|False|False
1998-03-04|New Zealand|Zimbabwe|True|False|False
1999-01-19|New Zealand|India|True|False|True
1999-02-17|New Zealand|South Africa|True|False|False
1992-03-05|South Africa|West Indies|False|False|True
1992-03-18|New Zealand|Pakistan|True|False|False
2000-01-11|New Zealand|West Indies|True|False|True
2000-02-26|New Zealand|Australia|True|False|False
2001-02-11|New Zealand|Sri Lanka|True|False|True
2001-02-25|New Zealand|Pakistan|True|False|True
2002-02-13|New Zealand|England|True|False|True
2003-01-01|New Zealand|India|True|False|True
2004-01-10|New Zealand|Pakistan|True|False|True
2004-02-17|New Zealand|South Africa|True|False|True
2005-02-22|New Zealand|Australia|True|False|False
2005-12-10|New Zealand|Australia|True|False|True
2006-01-03|New Zealand|Sri Lanka|True|False|True
2006-02-25|New Zealand|West Indies|True|False|True
2007-01-02|New Zealand|Sri Lanka|True|False|True
2008-02-23|New Zealand|England|True|False|True
2009-01-03|New Zealand|West Indies|True|False|False
2009-03-08|New Zealand|India|True|False|False
2010-02-11|New Zealand|Bangladesh|True|False|True
2011-01-29|New Zealand|Pakistan|True|False|False
1973-09-05|England|West Indies|True|False|True
1974-07-13|England|India|True|False|True
1975-06-07|Australia|Pakistan|False|False|True
1975-06-11|East Africa|India|False|False|False
1975-06-18|England|Australia|True|False|False
1979-06-09|Canada|Pakistan|False|False|False
1979-06-13|India|New Zealand|False|False|False
1979-06-16|England|Pakistan|True|False|True
1975-06-07|Australia|Pakistan|False|False|True
1975-06-11|East Africa|India|False|False|False
1975-06-18|England|Australia|True|False|False
1979-06-09|Canada|Pakistan|False|False|False
1979-06-13|India|New Zealand|False|False|False
1979-06-16|England|Pakistan|True|False|True
1980-05-28|England|West Indies|True|False|False
1981-06-08|England|Australia|True|False|False
1982-06-02|England|India|True|False|True
1983-06-11|Australia|West Indies|False|False|False
1983-06-16|Pakistan|Sri Lanka|False|False|True
1983-06-20|England|Sri Lanka|True|False|True
1986-07-16|England|New Zealand|True|False|False
1988-05-21|England|West Indies|True|False|True
1983-06-11|Australia|West Indies|False|False|False
1983-06-16|Pakistan|Sri Lanka|False|False|True
1983-06-20|England|Sri Lanka|True|False|True
1990-05-23|England|New Zealand|True|False|False
1990-07-18|England|India|True|False|False
1996-05-25|England|India|True|False|True
1997-05-22|England|Australia|True|False|True
1998-05-24|England|South Africa|True|False|True
1999-05-23|Australia|Pakistan|False|False|False
