DATE|COUNTRIES|GROUND|CITY|COUNTRY|TEAM.1|TEAM.2|WINNER|MARGIN
2005-01-20|Bangladesh v. Zimbabwe|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|Bangladesh|Zimbabwe|Zimbabwe|22 runs
2005-01-23|Australia v. Pakistan|Sydney Cricket Ground|Sydney|Australia|Australia|Pakistan|Australia|9 wickets
2005-01-24|Bangladesh v. Zimbabwe|MA Aziz Stadium|Chittagong|Bangladesh|Bangladesh|Zimbabwe|Zimbabwe|31 runs
2005-01-26|Bangladesh v. Zimbabwe|MA Aziz Stadium|Chittagong|Bangladesh|Bangladesh|Zimbabwe|Bangladesh|40 runs
2005-01-26|Australia v. West Indies|Adelaide Oval|Adelaide|Australia|Australia|West Indies|Australia|73 runs
2005-01-28|Pakistan v. West Indies|Adelaide Oval|Adelaide|Australia|Pakistan|West Indies|West Indies|58 runs
2005-01-29|Bangladesh v. Zimbabwe|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|Bangladesh|Zimbabwe|Bangladesh|58 runs
2005-01-30|South Africa v. England|Wanderers Stadium|Johannesburg|South Africa|South Africa|England|England|26 runs
2005-01-30|Australia v. Pakistan|WACA Ground|Perth|Australia|Australia|Pakistan|Pakistan|3 wickets
2005-01-31|Bangladesh v. Zimbabwe|Bangabandhu National Stadium|Dhaka (Dacca)|Bangladesh|Bangladesh|Zimbabwe|Bangladesh|8 wickets
2005-02-01|Pakistan v. West Indies|WACA Ground|Perth|Australia|Pakistan|West Indies|Pakistan|30 runs
2005-02-02|South Africa v. England|Mangaung Oval|Bloemfontein|South Africa|South Africa|England||Tied
2005-02-04|South Africa v. England|St George's Park|Port Elizabeth|South Africa|South Africa|England|South Africa|3 wickets
2005-02-04|Australia v. Pakistan|Melbourne Cricket Ground|Melbourne|Australia|Australia|Pakistan|Australia|18 runs
2005-02-06|South Africa v. England|Newlands|Cape Town|South Africa|South Africa|England|South Africa|108 runs
2005-02-06|Australia v. Pakistan|Sydney Cricket Ground|Sydney|Australia|Australia|Pakistan|Australia|31 runs
2005-02-09|South Africa v. England|Buffalo Park|East London|South Africa|South Africa|England|South Africa|7 runs
2005-02-13|South Africa v. England|SuperSport Park|Centurion|South Africa|South Africa|England|South Africa|3 wickets
2005-02-19|New Zealand v. Australia|Westpac Stadium|Wellington|New Zealand|New Zealand|Australia|Australia|10 runs
2005-02-22|New Zealand v. Australia|AMI Stadium|Christchurch|New Zealand|New Zealand|Australia|Australia|106 runs
2005-02-25|South Africa v. Zimbabwe|Wanderers Stadium|Johannesburg|South Africa|South Africa|Zimbabwe|South Africa|165 runs
2005-02-26|New Zealand v. Australia|Eden Park|Auckland|New Zealand|New Zealand|Australia|Australia|86 runs
2005-02-27|South Africa v. Zimbabwe|Kingsmead|Durban|South Africa|South Africa|Zimbabwe|South Africa|131 runs
2005-03-01|New Zealand v. Australia|Basin Reserve|Wellington|New Zealand|New Zealand|Australia|Australia|7 wickets
2005-03-02|South Africa v. Zimbabwe|St George's Park|Port Elizabeth|South Africa|South Africa|Zimbabwe|South Africa|5 wickets
2005-03-05|New Zealand v. Australia|McLean Park|Napier|New Zealand|New Zealand|Australia|Australia|122 runs
2005-04-02|India v. Pakistan|Nehru Stadium (Kochi)|Kochi|India|India|Pakistan|India|87 runs
2005-04-05|India v. Pakistan|Dr YS Rajasekhara Reddy Cricket Stadium|Visakhapatnam|India|India|Pakistan|India|58 runs
2005-04-09|India v. Pakistan|Keenan Stadium|Jamshedpur|India|India|Pakistan|Pakistan|106 runs
2005-04-12|India v. Pakistan|Sardar Patel Stadium|Ahmedabad|India|India|Pakistan|Pakistan|3 wickets
2005-04-15|India v. Pakistan|Green Park|Kanpur|India|India|Pakistan|Pakistan|5 wickets
2005-04-17|India v. Pakistan|Feroz Shah Kotla|Delhi|India|India|Pakistan|Pakistan|159 runs
2005-05-07|West Indies v. South Africa|Sabina Park|Kingston, Jamaica|West Indies|West Indies|South Africa|South Africa|8 wickets
2005-05-08|West Indies v. South Africa|Sabina Park|Kingston, Jamaica|West Indies|West Indies|South Africa|South Africa|8 wickets
2005-05-11|West Indies v. South Africa|Kensington Oval|Bridgetown, Barbados|West Indies|West Indies|South Africa|South Africa|1 run
2005-05-14|West Indies v. South Africa|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|South Africa|South Africa|6 wickets
2005-05-15|West Indies v. South Africa|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|South Africa|South Africa|7 wickets
2005-05-18|West Indies v. Pakistan|Arnos Vale Ground|Kingstown, St. Vincent|West Indies|West Indies|Pakistan|Pakistan|59 runs
2005-05-21|West Indies v. Pakistan|Darren Sammy National Cricket Stadium|Gros Islet, St Lucia|West Indies|West Indies|Pakistan|Pakistan|40 runs
2005-05-22|West Indies v. Pakistan|Darren Sammy National Cricket Stadium|Gros Islet, St Lucia|West Indies|West Indies|Pakistan|Pakistan|22 runs
2005-06-16|England v. Bangladesh|Kennington Oval|London|England|England|Bangladesh|England|10 wickets
2005-06-18|Australia v. Bangladesh|Sophia Gardens|Cardiff|Wales|Australia|Bangladesh|Bangladesh|5 wickets
2005-06-19|England v. Australia|County Ground (Bristol)|Bristol|England|England|Australia|England|3 wickets
2005-06-21|England v. Bangladesh|Trent Bridge|Nottingham|England|England|Bangladesh|England|168 runs
2005-06-23|England v. Australia|Riverside Ground|Chester-Le-Street|England|England|Australia|Australia|57 runs
2005-06-25|Australia v. Bangladesh|Old Trafford|Manchester|England|Australia|Bangladesh|Australia|10 wickets
2005-06-26|England v. Bangladesh|Headingley|Leeds|England|England|Bangladesh|England|5 wickets
2005-06-30|Australia v. Bangladesh|St Lawrence Ground|Canterbury|England|Australia|Bangladesh|Australia|6 wickets
2005-07-02|England v. Australia|Lord's|London|England|England|Australia||Tied
2005-07-07|England v. Australia|Headingley|Leeds|England|England|Australia|England|9 wickets
2005-07-10|England v. Australia|Lord's|London|England|England|Australia|Australia|7 wickets
2005-07-12|England v. Australia|Kennington Oval|London|England|England|Australia|Australia|8 wickets
2005-07-30|Sri Lanka v. India|Rangiri Dambulla International Stadium|Dambulla|Sri Lanka|Sri Lanka|India|Sri Lanka|3 wickets
2005-07-31|India v. West Indies|Rangiri Dambulla International Stadium|Dambulla|Sri Lanka|India|West Indies|India|6 wickets
2005-08-02|Sri Lanka v. West Indies|Rangiri Dambulla International Stadium|Dambulla|Sri Lanka|Sri Lanka|West Indies|Sri Lanka|50 runs
2005-08-03|Sri Lanka v. India|Rangiri Dambulla International Stadium|Dambulla|Sri Lanka|Sri Lanka|India|Sri Lanka|4 wickets
2005-08-06|Sri Lanka v. West Indies|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|West Indies|West Indies|33 runs
2005-08-07|India v. West Indies|R Premadasa Stadium|Colombo|Sri Lanka|India|West Indies|India|7 runs
2005-08-09|Sri Lanka v. India|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|India|Sri Lanka|18 runs
2005-08-17|ACA Africa XI v. ACC Asian XI|SuperSport Park|Centurion|South Africa|ACA Africa XI|ACC Asian XI|ACA Africa X1|2 runs
2005-08-20|ACA Africa XI v. ACC Asian XI|Kingsmead|Durban|South Africa|ACA Africa XI|ACC Asian XI|ACC Asian XI|17 runs
2005-08-24|Zimbabwe v. New Zealand|Queens Sports Club|Bulawayo|Zimbabwe|Zimbabwe|New Zealand|New Zealand|192 runs
2005-08-26|India v. New Zealand|Queens Sports Club|Bulawayo|Zimbabwe|India|New Zealand|New Zealand|51 runs
2005-08-29|Zimbabwe v. India|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|India|India|161 runs
2005-08-31|Sri Lanka v. Bangladesh|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|Bangladesh|Sri Lanka|88 runs
2005-08-31|Zimbabwe v. New Zealand|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|New Zealand|New Zealand|27 runs
2005-09-02|Sri Lanka v. Bangladesh|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Bangladesh|Sri Lanka|75 runs
2005-09-02|India v. New Zealand|Harare Sports Club|Harare|Zimbabwe|India|New Zealand|India|6 wickets
2005-09-04|Sri Lanka v. Bangladesh|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Bangladesh|Sri Lanka|6 wickets
2005-09-04|Zimbabwe v. India|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|India|India|4 wickets
2005-09-06|India v. New Zealand|Harare Sports Club|Harare|Zimbabwe|India|New Zealand|New Zealand|6 wickets
2005-10-05|Australia v. ICC World XI|Etihad Stadium|Melbourne|Australia|Australia|ICC World XI|Australia|93 runs
2005-10-07|Australia v. ICC World XI|Etihad Stadium|Melbourne|Australia|Australia|ICC World XI|Australia|55 runs
2005-10-09|Australia v. ICC World XI|Etihad Stadium|Melbourne|Australia|Australia|ICC World XI|Australia|156 runs
2005-10-23|South Africa v. New Zealand|Mangaung Oval|Bloemfontein|South Africa|South Africa|New Zealand|South Africa|2 wickets
2005-10-25|India v. Sri Lanka|Vidarbha Cricket Association Ground|Nagpur|India|India|Sri Lanka|India|152 runs
2005-10-28|India v. Sri Lanka|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|India|Sri Lanka|India|8 wickets
2005-10-28|South Africa v. New Zealand|Newlands|Cape Town|South Africa|South Africa|New Zealand|South Africa|19 runs
2005-10-30|South Africa v. New Zealand|St George's Park|Port Elizabeth|South Africa|South Africa|New Zealand|South Africa|4 wickets
2005-10-31|India v. Sri Lanka|Sawai Mansingh Stadium|Jaipur|India|India|Sri Lanka|India|6 wickets
2005-11-03|India v. Sri Lanka|Nehru Stadium (Pune)|Pune|India|India|Sri Lanka|India|4 wickets
2005-11-06|India v. Sri Lanka|Sardar Patel Stadium|Ahmedabad|India|India|Sri Lanka|Sri Lanka|5 wickets
2005-11-06|South Africa v. New Zealand|SuperSport Park|Centurion|South Africa|South Africa|New Zealand|South Africa|5 wickets
2005-11-09|India v. Sri Lanka|Madhavrao Scindia Cricket Ground|Rajkot|India|India|Sri Lanka|India|7 wickets
2005-11-12|India v. Sri Lanka|Reliance Stadium|Vadodara|India|India|Sri Lanka|India|5 wickets
2005-11-16|India v. South Africa|Rajiv Gandhi International Stadium|Hyderabad|India|India|South Africa|South Africa|5 wickets
2005-11-19|India v. South Africa|M Chinnaswamy Stadium|Bengaluru, Bangalore|India|India|South Africa|India|6 wickets
2005-11-25|India v. South Africa|Eden Gardens|Kolkata|India|India|South Africa|South Africa|10 wickets
2005-11-28|India v. South Africa|Wankhede Stadium|Mumbai|India|India|South Africa|India|5 wickets
2005-12-03|New Zealand v. Australia|Eden Park|Auckland|New Zealand|New Zealand|Australia|Australia|147 runs
2005-12-07|New Zealand v. Australia|Westpac Stadium|Wellington|New Zealand|New Zealand|Australia|Australia|2 runs
2005-12-10|Pakistan v. England|Gaddafi Stadium|Lahore|Pakistan|Pakistan|England|England|42 runs
2005-12-10|New Zealand v. Australia|AMI Stadium|Christchurch|New Zealand|New Zealand|Australia|New Zealand|2 wickets
2005-12-12|Pakistan v. England|Gaddafi Stadium|Lahore|Pakistan|Pakistan|England|Pakistan|7 wickets
2005-12-15|Pakistan v. England|National Stadium|Karachi|Pakistan|Pakistan|England|Pakistan|165 runs
2005-12-19|Pakistan v. England|Rawalpindi Cricket Stadium|Rawalpindi|Pakistan|Pakistan|England|Pakistan|13 runs
2005-12-21|Pakistan v. England|Rawalpindi Cricket Stadium|Rawalpindi|Pakistan|Pakistan|England|England|6 runs
2005-12-31|New Zealand v. Sri Lanka|Queenstown Events Centre|Queenstown|New Zealand|New Zealand|Sri Lanka|New Zealand|7 wickets
2006-01-03|New Zealand v. Sri Lanka|AMI Stadium|Christchurch|New Zealand|New Zealand|Sri Lanka|New Zealand|5 wickets
2006-01-06|New Zealand v. Sri Lanka|Westpac Stadium|Wellington|New Zealand|New Zealand|Sri Lanka|New Zealand|21 runs
2006-01-08|New Zealand v. Sri Lanka|McLean Park|Napier|New Zealand|New Zealand|Sri Lanka|Sri Lanka|20 runs
2006-01-13|Australia v. Sri Lanka|Etihad Stadium|Melbourne|Australia|Australia|Sri Lanka|Australia|116 runs
2006-01-15|Australia v. South Africa|Brisbane Cricket Ground|Brisbane|Australia|Australia|South Africa|South Africa|5 wickets
2006-01-17|South Africa v. Sri Lanka|Brisbane Cricket Ground|Brisbane|Australia|South Africa|Sri Lanka|Sri Lanka|94 runs
2006-01-20|Australia v. South Africa|Etihad Stadium|Melbourne|Australia|Australia|South Africa|Australia|59 runs
2006-01-22|Australia v. Sri Lanka|Sydney Cricket Ground|Sydney|Australia|Australia|Sri Lanka|Sri Lanka|51 runs
2006-01-24|South Africa v. Sri Lanka|Adelaide Oval|Adelaide|Australia|South Africa|Sri Lanka|South Africa|9 runs
2006-01-26|Australia v. Sri Lanka|Adelaide Oval|Adelaide|Australia|Australia|Sri Lanka|Australia|5 wickets
2006-01-29|Australia v. Sri Lanka|WACA Ground|Perth|Australia|Australia|Sri Lanka|Australia|6 wickets
2006-01-31|South Africa v. Sri Lanka|WACA Ground|Perth|Australia|South Africa|Sri Lanka|South Africa|5 wickets
2006-02-03|Australia v. South Africa|Etihad Stadium|Melbourne|Australia|Australia|South Africa|Australia|80 runs
2006-02-05|Australia v. South Africa|Sydney Cricket Ground|Sydney|Australia|Australia|South Africa|Australia|57 runs
2006-02-06|Pakistan v. India|Arbab Niaz Stadium|Peshawar|Pakistan|Pakistan|India|Pakistan|7 runs
2006-02-07|South Africa v. Sri Lanka|Bellerive Oval|Hobart|Australia|South Africa|Sri Lanka|Sri Lanka|76 runs
2006-02-10|Australia v. Sri Lanka|Adelaide Oval|Adelaide|Australia|Australia|Sri Lanka|Sri Lanka|22 runs
2006-02-11|Pakistan v. India|Rawalpindi Cricket Stadium|Rawalpindi|Pakistan|Pakistan|India|India|7 wickets
2006-02-12|Australia v. Sri Lanka|Sydney Cricket Ground|Sydney|Australia|Australia|Sri Lanka|Australia|167 runs
2006-02-13|Pakistan v. India|Gaddafi Stadium|Lahore|Pakistan|Pakistan|India|India|5 wickets
2006-02-14|Australia v. Sri Lanka|Brisbane Cricket Ground|Brisbane|Australia|Australia|Sri Lanka|Australia|9 wickets
2006-02-16|Pakistan v. India|Multan Cricket Stadium|Multan|Pakistan|Pakistan|India|India|5 wickets
2006-02-18|New Zealand v. West Indies|Westpac Stadium|Wellington|New Zealand|New Zealand|West Indies|New Zealand|81 runs
2006-02-19|Pakistan v. India|National Stadium|Karachi|Pakistan|Pakistan|India|India|8 wickets
2006-02-20|Bangladesh v. Sri Lanka|Shaheed Chandu Stadium|Bogra|Bangladesh|Bangladesh|Sri Lanka|Sri Lanka|5 wickets
2006-02-22|Bangladesh v. Sri Lanka|Shaheed Chandu Stadium|Bogra|Bangladesh|Bangladesh|Sri Lanka|Bangladesh|4 wickets
2006-02-22|New Zealand v. West Indies|Queenstown Events Centre|Queenstown|New Zealand|New Zealand|West Indies|New Zealand|3 wickets
2006-02-25|Zimbabwe v. Kenya|Queens Sports Club|Bulawayo|Zimbabwe|Zimbabwe|Kenya|Zimbabwe|8 wickets
2006-02-25|Bangladesh v. Sri Lanka|Zahur Ahmed Chowdhury Stadium|Chittagong|Bangladesh|Bangladesh|Sri Lanka|Sri Lanka|78 runs
2006-02-25|New Zealand v. West Indies|AMI Stadium|Christchurch|New Zealand|New Zealand|West Indies|New Zealand|21 runs
2006-02-26|South Africa v. Australia|SuperSport Park|Centurion|South Africa|South Africa|Australia|South Africa|6 wickets
2006-02-26|Zimbabwe v. Kenya|Queens Sports Club|Bulawayo|Zimbabwe|Zimbabwe|Kenya|Kenya|79 runs
2006-03-01|Zimbabwe v. Kenya|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Kenya|Kenya|65 runs
2006-03-01|New Zealand v. West Indies|McLean Park|Napier|New Zealand|New Zealand|West Indies|New Zealand|91 runs
2006-03-03|South Africa v. Australia|Newlands|Cape Town|South Africa|South Africa|Australia|South Africa|196 runs
2006-03-03|Zimbabwe v. Kenya|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Kenya|Zimbabwe|109 runs
2006-03-04|New Zealand v. West Indies|Eden Park|Auckland|New Zealand|New Zealand|West Indies|West Indies|3 wickets
2006-03-05|South Africa v. Australia|St George's Park|Port Elizabeth|South Africa|South Africa|Australia|Australia|24 runs
2006-03-10|South Africa v. Australia|Kingsmead|Durban|South Africa|South Africa|Australia|Australia|1 wicket
2006-03-12|South Africa v. Australia|Wanderers Stadium|Johannesburg|South Africa|South Africa|Australia|South Africa|1 wicket
2006-03-17|Bangladesh v. Kenya|Shaheed Chandu Stadium|Bogra|Bangladesh|Bangladesh|Kenya|Bangladesh|131 runs
2006-03-19|Sri Lanka v. Pakistan|R Premadasa Stadium|Colombo|Sri Lanka|Sri Lanka|Pakistan|Pakistan|4 wickets
2006-03-20|Bangladesh v. Kenya|Sheikh Abu Naser Stadium|Khulna|Bangladesh|Bangladesh|Kenya|Bangladesh|9 wickets
2006-03-22|Sri Lanka v. Pakistan|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|Pakistan|Pakistan|4 wickets
2006-03-23|Bangladesh v. Kenya|Khan Shaheb Osman Ali Stadium|Fatullah|Bangladesh|Bangladesh|Kenya|Bangladesh|20 runs
2006-03-25|Bangladesh v. Kenya|Khan Shaheb Osman Ali Stadium|Fatullah|Bangladesh|Bangladesh|Kenya|Bangladesh|7 wickets
2006-03-28|India v. England|Feroz Shah Kotla|Delhi|India|India|England|India|39 runs
2006-03-31|India v. England|Nahar Singh Stadium|Faridabad|India|India|England|India|4 wickets
2006-04-03|India v. England|Nehru Stadium (Margao)|Margao|India|India|England|India|49 runs
2006-04-06|India v. England|Nehru Stadium (Kochi)|Kochi|India|India|England|India|4 wickets
2006-04-12|India v. England|Keenan Stadium|Jamshedpur|India|India|England|England|5 wickets
2006-04-15|India v. England|Holkar Cricket Stadium|Indore|India|India|England|India|7 wickets
2006-04-18|India v. Pakistan|Sheikh Zayed Stadium|Abu Dhabi|United Arab Emirates|India|Pakistan|Pakistan|6 wickets
2006-04-19|India v. Pakistan|Sheikh Zayed Stadium|Abu Dhabi|United Arab Emirates|India|Pakistan|India|51 runs
2006-04-23|Bangladesh v. Australia|Zahur Ahmed Chowdhury Stadium|Chittagong|Bangladesh|Bangladesh|Australia|Australia|4 wickets
2006-04-26|Bangladesh v. Australia|Khan Shaheb Osman Ali Stadium|Fatullah|Bangladesh|Bangladesh|Australia|Australia|67 runs
2006-04-28|Bangladesh v. Australia|Khan Shaheb Osman Ali Stadium|Fatullah|Bangladesh|Bangladesh|Australia|Australia|9 wickets
2006-04-29|West Indies v. Zimbabwe|Antigua Recreation Ground|St. John's, Antigua|West Indies|West Indies|Zimbabwe|West Indies|5 wickets
2006-04-30|West Indies v. Zimbabwe|Antigua Recreation Ground|St. John's, Antigua|West Indies|West Indies|Zimbabwe|West Indies|98 runs
2006-05-07|West Indies v. Zimbabwe|Bourda|Georgetown, Guyana|West Indies|West Indies|Zimbabwe|West Indies|82 runs
2006-05-10|West Indies v. Zimbabwe|Darren Sammy National Cricket Stadium|Gros Islet, St Lucia|West Indies|West Indies|Zimbabwe|West Indies|10 wickets
2006-05-14|West Indies v. Zimbabwe|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|Zimbabwe|West Indies|104 runs
2006-05-16|Canada v. Zimbabwe|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|Canada|Zimbabwe|Zimbabwe|143 runs
2006-05-17|Bermuda v. Canada|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|Bermuda|Canada|Bermuda|3 wickets
2006-05-18|West Indies v. India|Sabina Park|Kingston, Jamaica|West Indies|West Indies|India|India|5 wickets
2006-05-18|Bermuda v. Zimbabwe|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|Bermuda|Zimbabwe|Zimbabwe|194 runs
2006-05-20|West Indies v. India|Sabina Park|Kingston, Jamaica|West Indies|West Indies|India|West Indies|1 run
2006-05-20|Bermuda v. Zimbabwe|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|Bermuda|Zimbabwe|Zimbabwe|83 runs
2006-05-23|West Indies v. India|Warner Park|Basseterre, St Kitts|West Indies|West Indies|India|West Indies|4 wickets
2006-05-26|West Indies v. India|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|India|West Indies|6 wickets
2006-05-28|West Indies v. India|Queen's Park Oval|Port-Of-Spain, Trinidad|West Indies|West Indies|India|West Indies|19 runs
2006-06-13|Ireland v. England|Civil Service Cricket Club|Belfast|Ireland|Ireland|England|England|38 runs
2006-06-17|England v. Sri Lanka|Lord's|London|England|England|Sri Lanka|Sri Lanka|20 runs
2006-06-20|England v. Sri Lanka|Kennington Oval|London|England|England|Sri Lanka|Sri Lanka|46 runs
2006-06-24|England v. Sri Lanka|Riverside Ground|Chester-Le-Street|England|England|Sri Lanka|Sri Lanka|8 wickets
2006-06-27|Scotland v. Pakistan|Grange Cricket Club|Edinburgh|Scotland|Scotland|Pakistan|Pakistan|5 wickets
2006-06-28|England v. Sri Lanka|Old Trafford|Manchester|England|England|Sri Lanka|Sri Lanka|33 runs
2006-07-01|England v. Sri Lanka|Headingley|Leeds|England|England|Sri Lanka|Sri Lanka|8 wickets
2006-07-04|Netherlands v. Sri Lanka|VRA Ground|Amstelveen|Netherlands|Netherlands|Sri Lanka|Sri Lanka|195 runs
2006-07-06|Netherlands v. Sri Lanka|VRA Ground|Amstelveen|Netherlands|Netherlands|Sri Lanka|Sri Lanka|56 runs
2006-07-29|Zimbabwe v. Bangladesh|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Bangladesh|Zimbabwe|2 wickets
2006-07-30|Zimbabwe v. Bangladesh|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Bangladesh|Bangladesh|62 runs
2006-08-02|Zimbabwe v. Bangladesh|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Bangladesh|Zimbabwe|2 wickets
2006-08-04|Zimbabwe v. Bangladesh|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Bangladesh|Zimbabwe|7 wickets
2006-08-05|Canada v. Kenya|Cricket, Skating & Curling Club|Toronto|Canada|Canada|Kenya|Kenya|108 runs
2006-08-05|Scotland v. Ireland|Cambusdoon New Ground|Ayr|Scotland|Scotland|Ireland|Ireland|85 runs
2006-08-06|Canada v. Kenya|Cricket, Skating & Curling Club|Toronto|Canada|Canada|Kenya|Kenya|5 wickets
2006-08-06|Scotland v. Netherlands|Cambusdoon New Ground|Ayr|Scotland|Scotland|Netherlands|Scotland|4 wickets
2006-08-06|Zimbabwe v. Bangladesh|Harare Sports Club|Harare|Zimbabwe|Zimbabwe|Bangladesh|Bangladesh|8 wickets
2006-08-12|Kenya v. Bangladesh|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Bangladesh|Bangladesh|6 wickets
2006-08-13|Kenya v. Bangladesh|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Bangladesh|Bangladesh|2 wickets
2006-08-15|Kenya v. Bangladesh|Gymkhana Club Ground|Nairobi|Kenya|Kenya|Bangladesh|Bangladesh|6 wickets
2006-08-19|Canada v. Bermuda|Cricket, Skating & Curling Club|Toronto|Canada|Canada|Bermuda|Bermuda|6 wickets
2006-08-21|Canada v. Bermuda|Cricket, Skating & Curling Club|Toronto|Canada|Canada|Bermuda|Bermuda|11 runs
2006-09-02|England v. Pakistan|Lord's|London|England|England|Pakistan|Pakistan|7 wickets
2006-09-05|England v. Pakistan|The Rose Bowl|Southampton|England|England|Pakistan|Pakistan|2 wickets
2006-09-08|England v. Pakistan|Trent Bridge|Nottingham|England|England|Pakistan|England|8 wickets
2006-09-10|England v. Pakistan|Edgbaston|Birmingham|England|England|Pakistan|England|3 wickets
2006-09-12|Australia v. West Indies|Kinrara Academy Oval|Kuala Lumpur|Malaysia|Australia|West Indies|Australia|78 runs
2006-09-14|India v. West Indies|Kinrara Academy Oval|Kuala Lumpur|Malaysia|India|West Indies|West Indies|29 runs
2006-09-15|South Africa v. Zimbabwe|Mangaung Oval|Bloemfontein|South Africa|South Africa|Zimbabwe|South Africa|5 wickets
2006-09-18|South Africa v. Zimbabwe|Buffalo Park|East London|South Africa|South Africa|Zimbabwe|South Africa|6 wickets
2006-09-18|Australia v. West Indies|Kinrara Academy Oval|Kuala Lumpur|Malaysia|Australia|West Indies|West Indies|3 wickets
2006-09-20|South Africa v. Zimbabwe|Senwes Park|Potchefstroom|South Africa|South Africa|Zimbabwe|South Africa|171 runs
2006-09-20|India v. West Indies|Kinrara Academy Oval|Kuala Lumpur|Malaysia|India|West Indies|India|16 runs
2006-09-22|Australia v. India|Kinrara Academy Oval|Kuala Lumpur|Malaysia|Australia|India|Australia|18 runs
2006-09-24|Australia v. West Indies|Kinrara Academy Oval|Kuala Lumpur|Malaysia|Australia|West Indies|Australia|127 runs
2006-10-07|Sri Lanka v. Bangladesh|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|Sri Lanka|Bangladesh|Sri Lanka|37 runs
2006-10-08|West Indies v. Zimbabwe|Sardar Patel Stadium|Ahmedabad|India|West Indies|Zimbabwe|West Indies|9 wickets
2006-10-10|Sri Lanka v. Zimbabwe|Sardar Patel Stadium|Ahmedabad|India|Sri Lanka|Zimbabwe|Sri Lanka|144 runs
2006-10-11|Bangladesh v. West Indies|Sawai Mansingh Stadium|Jaipur|India|Bangladesh|West Indies|West Indies|10 wickets
2006-10-13|Bangladesh v. Zimbabwe|Sawai Mansingh Stadium|Jaipur|India|Bangladesh|Zimbabwe|Bangladesh|101 runs
2006-10-14|Sri Lanka v. West Indies|Brabourne Stadium|Mumbai|India|Sri Lanka|West Indies|Sri Lanka|9 wickets
2006-10-15|India v. England|Sawai Mansingh Stadium|Jaipur|India|India|England|India|4 wickets
2006-10-16|New Zealand v. South Africa|Brabourne Stadium|Mumbai|India|New Zealand|South Africa|New Zealand|87 runs
2006-10-17|Pakistan v. Sri Lanka|Sawai Mansingh Stadium|Jaipur|India|Pakistan|Sri Lanka|Pakistan|4 wickets
2006-10-18|Australia v. West Indies|Brabourne Stadium|Mumbai|India|Australia|West Indies|West Indies|10 runs
2006-10-20|New Zealand v. Sri Lanka|Brabourne Stadium|Mumbai|India|New Zealand|Sri Lanka|Sri Lanka|7 wickets
2006-10-21|Australia v. England|Sawai Mansingh Stadium|Jaipur|India|Australia|England|Australia|6 wickets
2006-10-24|South Africa v. Sri Lanka|Sardar Patel Stadium|Ahmedabad|India|South Africa|Sri Lanka|South Africa|78 runs
2006-10-25|New Zealand v. Pakistan|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|New Zealand|Pakistan|New Zealand|51 runs
2006-10-26|India v. West Indies|Sardar Patel Stadium|Ahmedabad|India|India|West Indies|West Indies|3 wickets
2006-10-27|Pakistan v. South Africa|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|Pakistan|South Africa|South Africa|124 runs
2006-10-28|England v. West Indies|Sardar Patel Stadium|Ahmedabad|India|England|West Indies|England|3 wickets
2006-10-29|India v. Australia|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|India|Australia|Australia|6 wickets
2006-11-01|Australia v. New Zealand|Punjab Cricket Association IS Bindra Stadium|Mohali, Chandigarh|India|Australia|New Zealand|Australia|34 runs
2006-11-02|South Africa v. West Indies|Sawai Mansingh Stadium|Jaipur|India|South Africa|West Indies|West Indies|6 wickets
2006-11-05|Australia v. West Indies|Brabourne Stadium|Mumbai|India|Australia|West Indies|Australia|8 wickets
