DATE|COUNTRIES|GROUND|CITY|COUNTRY|TEAM.1|TEAM.2|WINNER|MARGIN
1981-11-22|Australia v. Pakistan|Melbourne Cricket Ground|Melbourne|Australia|Australia|Pakistan|Pakistan|4 wickets
1981-11-24|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|7 wickets
1981-11-25|India v. England|Sardar Vallabhai Patel Stadium|Ahmedabad|India|India|England|England|5 wickets
1981-12-05|Pakistan v. West Indies|Adelaide Oval|Adelaide|Australia|Pakistan|West Indies|Pakistan|8 runs
1981-12-06|Australia v. Pakistan|Adelaide Oval|Adelaide|Australia|Australia|Pakistan|Australia|38 runs
1981-12-17|Australia v. Pakistan|Sydney Cricket Ground|Sydney|Australia|Australia|Pakistan|Pakistan|6 wickets
1981-12-19|Pakistan v. West Indies|WACA Ground|Perth|Australia|Pakistan|West Indies|West Indies|7 wickets
1981-12-20|India v. England|Gandhi Stadium|Jalandhar (Jullundur)|India|India|England|India|6 wickets
1981-12-20|Australia v. West Indies|WACA Ground|Perth|Australia|Australia|West Indies|West Indies|8 wickets
1982-01-09|Australia v. Pakistan|Melbourne Cricket Ground|Melbourne|Australia|Australia|Pakistan|Pakistan|25 runs
1982-01-10|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|West Indies|5 wickets
1982-01-12|Pakistan v. West Indies|Sydney Cricket Ground|Sydney|Australia|Pakistan|West Indies|West Indies|7 wickets
1982-01-14|Australia v. Pakistan|Sydney Cricket Ground|Sydney|Australia|Australia|Pakistan|Australia|76 runs
1982-01-16|Pakistan v. West Indies|Brisbane Cricket Ground|Brisbane|Australia|Pakistan|West Indies|West Indies|1 wicket
1982-01-17|Australia v. West Indies|Brisbane Cricket Ground|Brisbane|Australia|Australia|West Indies|West Indies|5 wickets
1982-01-19|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|5 runs
1982-01-23|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|West Indies|86 runs
1982-01-24|Australia v. West Indies|Melbourne Cricket Ground|Melbourne|Australia|Australia|West Indies|West Indies|128 runs
1982-01-26|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|Australia|46 runs
1982-01-27|India v. England|Barabati Stadium|Cuttack|India|India|England|India|5 wickets
1982-01-27|Australia v. West Indies|Sydney Cricket Ground|Sydney|Australia|Australia|West Indies|West Indies|18 runs
1982-02-13|New Zealand v. Australia|Eden Park|Auckland|New Zealand|New Zealand|Australia|New Zealand|46 runs
1982-02-13|Sri Lanka v. England|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|England|England|5 runs
1982-02-14|Sri Lanka v. England|Sinhalese Sports Club Ground|Colombo|Sri Lanka|Sri Lanka|England|Sri Lanka|3 runs
1982-02-17|New Zealand v. Australia|Carisbrook|Dunedin|New Zealand|New Zealand|Australia|Australia|6 wickets
1982-02-20|New Zealand v. Australia|Basin Reserve|Wellington|New Zealand|New Zealand|Australia|Australia|8 wickets
