Official name,City,Country
Bulawayo Athletic Club,"Bulawayo, Matabeleland",Zimbabwe
Southend Club Cricket Stadium,"Karachi, Sindh",Pakistan
Defence Cricket Stadium,"Karachi, Sindh",Pakistan
Rawalpindi Cricket Stadium,"Rawalpindi, Punjab",Pakistan
K.D. Singh Babu Stadium,"Lucknow, Uttar Pradesh",India
Queens Sports Club,Bulawayo,Zimbabwe
Punjab Cricket Association Stadium,"Mohali, Punjab",India
Mohali Stadium,"Mohali, Punjab",India
Arbab Niaz Stadium,"Peshawar, Khyber Pakhtunkhwa",Pakistan
SuperSport Park,"Centurion, Gauteng",South Africa
Centurion Park,"Centurion, Gauteng",South Africa
Sheikhupura Stadium,"Sheikhupura, Punjab",Pakistan
Arnos Vale Stadium,"Kingstown, Saint Vincent and the Grenadines",West Indies
Galle International Stadium,"Galle, Southern Province",Sri Lanka
Mangaung Oval,"Bloemfontein, Free State",South Africa
Springbok Park,"Bloemfontein, Free State",South Africa
Multan Cricket Stadium,"Multan, Punjab",Pakistan
M. A. Aziz Stadium ,"Chittagong, Chittagong Division",Bangladesh
Chittagong Divisional Stadium,"Chittagong, Chittagong Division",Bangladesh
Sharjah Cricket Stadium,"Sharjah, United Arab Emirates",United Arab Emirates
SCA Stadium,"Sharjah, United Arab Emirates",United Arab Emirates
National Cricket Stadium ,"St. George's, Grenada",West Indies
Grenada,"St. George's, Grenada",West Indies
Queen's Park,"St. George's, Grenada",West Indies
Buffalo Park,"East London, Eastern Cape",South Africa
Senwes Park,"Potchefstroom, North West",South Africa
Riverside Ground,"Chester-le-Street, County Durham",England
Darren Sammy National Cricket Stadium,"Gros Islet, Saint Lucia ",West Indies
Beausejour,"Gros Islet, Saint Lucia ",West Indies
Marrara Oval,"Darwin, Northern Territory",Australia
Bundaberg Rum Stadium,"Cairns, Queensland",Australia
Cazaly's Stadium,"Cairns, Queensland",Australia
Zohur Ahmed Chowdhury Stadium,"Chittagong, Chittagong Division",Bangladesh
Shaheed Chandu Stadium ,"Bogra, Rajshahi Division",Bangladesh
Bogra Divisional Stadium,"Bogra, Rajshahi Division",Bangladesh
Fatullah Osmani Stadium ,"Fatullah, Narayanganj, Dhaka Division",Bangladesh
Khan Shaheb Osman Ali Stadium,"Fatullah, Narayanganj, Dhaka Division",Bangladesh
Warner Park,"Basseterre, Saint Kitts and Nevis",West Indies
Sher-e-Bangla National Cricket Stadium,"Mirpur, Dhaka, Dhaka Division",Bangladesh
Mirpur Stadium,"Mirpur, Dhaka, Dhaka Division",Bangladesh
University Oval,"Dunedin, Otago",New Zealand
Providence Stadium,"Providence, Guyana",West Indies
Sir Vivian Richards Stadium,"Antigua, Antigua and Barbuda",West Indies
Vidarbha Cricket Association Stadium,"Nagpur, Maharashtra",India
Jamtha Stadium,"Nagpur, Maharashtra",India
Sophia Gardens,"Cardiff, South Glamorgan",Wales
Rajiv Gandhi International Cricket Stadium,"Hyderabad, Telangana",India
Dubai International Cricket Stadium,"Dubai, United Arab Emirates",United Arab Emirates
Dubai Sports City Stadium,"Dubai, United Arab Emirates",United Arab Emirates
Sheikh Zayed Cricket Stadium,"Abu Dhabi, United Arab Emirates",United Arab Emirates
Pallekele International Cricket Stadium,"Pallekele, Kandy",Sri Lanka
Ageas Bowl,"Southampton, Hampshire",England
Rose Bowl ,"Southampton, Hampshire",England
Windsor Park,"Roseau, Dominica",West Indies
Sheikh Abu Naser Stadium ,"Khulna, Khulna Division",Bangladesh
Khulna Divisional Stadium,"Khulna, Khulna Division",Bangladesh
Hagley Oval,"Christchurch, Canterbury",New Zealand
Holkar Stadium,"Indore, Madhya Pradesh",India
Saurashtra Cricket Association Stadium,"Rajkot, Gujarat",India
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Visakhapatnam, Andhra Pradesh",India
ACA-VDCA Stadium,"Visakhapatnam, Andhra Pradesh",India
Maharashtra Cricket Association Stadium,"Pune, Maharashtra",India
JSCA International Stadium Complex,"Ranchi, Jharkhand",India
Himachal Pradesh Cricket Association Stadium,"Dharamshala, Himachal Pradesh",India
Malahide Cricket Club Ground,Dublin,Ireland
The Village,Dublin,Ireland
Sylhet International Cricket Stadium ,"Sylhet, Sylhet Division",Bangladesh
Sylhet Divisional Stadium,"Sylhet, Sylhet Division",Bangladesh
Optus Stadium,"Perth, Western Australia",Australia
Manuka Oval,"Canberra, Australian Capital Territory",Australia
Rajiv Gandhi International Cricket Stadium,"Dehradun, Uttarakhand",India
