NAME|BORN|COUNTRY|TEST_COUNT|ODI_COUNT|T20_COUNT
Head, T M|29/12/1993|Australia|8|42|16
Heazlett, S D|12/09/1995|Australia|0|1|0
Hemraj, C|03/09/1993|West Indies|0|6|0
Hendricks, B E|08/06/1990|South Africa|0|2|10
Hendricks, R R|14/08/1989|South Africa|0|18|17
Henriques, M C|01/02/1987|Australia|4|11|11
Henry, M J|14/12/1991|New Zealand|10|43|6
Hetmeyer, S O||West Indies|13|25|11
Hiri, H|01/05/1995|Papua New Guinea|0|3|2
Holder, J O|05/11/1991|West Indies|37|90|11
Holland, J M|29/05/1987|Australia|4|0|0
Hope, K A|20/11/1988|West Indies|5|7|0
Hope, S D|10/11/1993|West Indies|29|49|12
Hussain Talat|12/02/1996|Pakistan|0|1|14
Ibrahim Hassan|21/04/1991|Maldives|0|0|4
Ibrahim Khan|15/04/1980|Saudi Arabia|0|0|1
Ibrahim Nashath|04/08/1995|Maldives|0|0|3
Ibrahim Rizan|30/08/1986|Maldives|0|0|2
Ibrarul Haq|27/07/1988|Saudi Arabia|0|0|5
Iftikhar Ahmed|03/09/1990|Pakistan|1|2|1
Ihsanullah|28/12/1997|Afghanistan|0|16|0
Ikram Ali Khil|29/09/2000|Afghanistan|0|2|0
Imad Wasim|18/12/1988|Pakistan|0|36|34
Imam-ul-Haq|12/12/1995|Pakistan|10|21|0
Imran Ali|31/10/1980|Kuwait|0|0|4
Imran Ali Butt|20/01/1986|Bahrain|0|0|4
Imran Anwar|24/10/1989|Bahrain|0|0|4
Imran Haider|01/01/1990|United Arab Emirates|0|16|9
Imran Khan|15/07/1988|Pakistan|9|0|0
Imran Tahir|27/03/1979|South Africa|20|97|37
Imrul Kayes|02/02/1987|Bangladesh|37|78|14
Inam-ul-Haq|07/01/1979|Qatar|0|0|5
Iqbal Hussain|14/01/1989|Qatar|0|0|5
Iyer, S S|06/12/1994|India|0|6|6
Jadeja, R A|06/12/1988|India|41|151|40
Jadhav, K M|26/03/1985|India|0|59|9
Jarvis, K M|16/02/1989|Zimbabwe|12|40|14
Jatinder Singh|03/03/1989|Oman|0|0|14
Javed Ahmadi|02/01/1992|Afghanistan|1|42|3
Jayasuriya, G S N F G|12/09/1991|Sri Lanka|0|9|11
Jayasuriya, N G R P|05/11/1991|Sri Lanka|0|2|0
Jennings, K K|19/06/1992|England|17|0|0
Jones, M A|05/01/1998|Scotland|0|5|0
Jonker, C|24/09/1986|South Africa|0|2|2
Jora, S|20/10/2001|Nepal|0|1|3
Jordan, C J|04/10/1988|England|8|31|38
Joseph, A S|20/11/1996|West Indies|9|16|0
Joyce, E C|22/09/1978|Ireland|1|78|18
Junaid Khan|24/12/1989|Pakistan|22|71|9
Kaleemullah|24/12/1990|Oman|0|0|4
Kamran Khan|29/09/1988|Qatar|0|0|5
Kamrul Islam Rabbi|10/12/1991|Bangladesh|7|0|0
Kamunhukamwe, T S|10/07/1995|Zimbabwe|0|2|0
Kane, T E|08/07/1994|Ireland|1|0|6
Kapugedera, C K|24/02/1987|Sri Lanka|8|102|43
Karan KC|10/10/1991|Nepal|0|5|9
Karim Janat|11/08/1998|Afghanistan|0|1|16
Karim Sadiq|18/02/1984|Afghanistan|0|24|36
Karthik, K D|01/06/1985|India|26|91|32
Karunaratne, F D M|21/04/1988|Sri Lanka|60|17|0
Kaul, S||India|0|3|3
Khadka, P|24/10/1987|Nepal|0|6|15
Khakurel, S P|07/04/1993|Nepal|0|2|8
Khaled Ahmed|20/09/1992|Bangladesh|2|0|0
Khalid Latif|04/11/1985|Pakistan|0|5|13
Khawaja, U T|18/12/1986|Australia|41|26|9
Khawar Ali|20/12/1985|Oman|0|0|16
Khurram Nawaz|30/01/1986|Oman|0|0|7
Kila, J|15/01/1990|Papua New Guinea|0|2|0
Kitchen, A K|21/02/1984|New Zealand|0|0|5
Klaasen, H||South Africa|0|14|9
Klaassen, F J|13/11/1992|Netherlands|0|2|8
Kohli, V||India|77|227|67
Krishna Chandran|24/08/1984|United Arab Emirates|0|12|0
Kuggeleijn, S C|03/01/1992|New Zealand|0|2|4
Kuhn, H G|01/04/1984|South Africa|4|0|7
Kulasekara, K M D N|22/07/1982|Sri Lanka|21|184|58
Kuldeep Yadav||India|6|44|18
Kulkarni, D S||India|0|12|2
Kumar, B||India|21|105|37
Kumara, C B R L S|13/02/1997|Sri Lanka|15|8|1
Kumaranayaka, U K P W|13/04/1993|Kuwait|0|0|3
Labuschagne, M|22/06/1994|Australia|5|0|0
Lakmal, R A S|10/03/1987|Sri Lanka|57|81|10
Lalcheta, A V|22/10/1983|Oman|0|0|17
Lamichhane, S|02/08/2000|ICC World XI|0|6|5
Latham, T W M|02/04/1992|New Zealand|43|85|13
Leach, M J|22/06/1991|England|4|0|0
Leask, M A|29/10/1990|Scotland|0|30|23
Lewis, E||West Indies|0|35|20
Lewis, S H|21/10/1995|West Indies|2|0|0
Liton Das|13/10/1994|Bangladesh|15|27|18
Little, J B|01/11/1999|Ireland|0|0|10
Livingstone, L S||England|0|0|2
Lynn, C A||Australia|0|4|18
Lyon, N M|20/11/1987|Australia|86|20|2
MacLeod, C S|15/11/1988|Scotland|0|57|37
Maddinson, N J|21/12/1991|Australia|3|0|6
Madushanka, D S K|10/04/1995|Sri Lanka|0|1|2
Madushanka, L D|12/09/1992|Sri Lanka|0|4|0
Madziva, N|02/08/1991|Zimbabwe|0|12|9
Maharaj, K A|07/02/1990|South Africa|25|4|0
Maharoof, M F|07/09/1984|Sri Lanka|22|109|8
Mahedi Hasan|12/12/1994|Bangladesh|0|0|1
Mahmudullah|04/02/1986|Bangladesh|45|171|76
